Time,Satellite,Target,Bin
4065.0,5,7,144
4081.0,12,3,235
4081.0,3,5,117
4092.0,12,7,279
4125.0,5,7,154
4141.0,3,5,108
4141.0,12,3,244
4150.887898762,12,10,207
4152.0,12,7,279
4171.958894364,12,1,135
4185.0,5,7,172
4198.890692074,12,7,288
4201.0,3,5,99
4201.0,12,3,262
4201.523148559,12,12,99
4210.0,12,10,207
4219.349157244,3,5,99
4231.0,12,1,126
4238.3696375,12,11,90
4245.0,5,7,180
4261.0,12,3,270
4261.0,12,12,99
4270.0,12,10,216
4278.518164498,12,13,117
4291.0,12,1,126
4298.0,12,11,81
4305.0,5,7,189
4321.0,12,12,90
4321.0,12,3,279
4330.0,12,10,225
4338.0,12,13,117
4348.712256134,12,15,162
4351.0,12,1,127
4358.0,12,11,72
4365.0,5,7,198
4371.816612286,12,6,108
4381.0,12,3,288
4381.0,12,12,81
4390.0,12,10,234
4398.0,12,13,108
4408.0,12,15,162
4411.0,12,1,119
4418.0,12,11,63
4423.388643267,12,3,288
4425.0,5,7,207
4427.526743383,5,7,207
4431.0,12,6,99
4441.0,12,12,73
4450.0,12,10,252
4458.0,12,13,100
4468.0,12,15,162
4471.0,12,1,102
4478.0,12,11,54
4491.0,12,6,99
4501.0,12,12,55
4510.0,12,10,261
4518.0,12,13,91
4528.0,12,15,163
4531.0,12,1,76
4538.0,12,11,45
4551.0,12,6,91
4561.0,12,12,46
4570.0,12,10,270
4578.0,12,13,74
4588.0,12,15,173
4591.0,12,1,48
4598.0,12,11,36
4611.0,12,6,73
4621.0,12,12,36
4630.0,12,10,279
4638.0,12,13,56
4648.0,12,15,183
4651.0,12,1,20
4658.0,12,11,27
4671.0,12,6,64
4681.0,12,12,27
4690.0,12,10,288
4698.0,12,13,38
4708.0,12,15,212
4711.0,12,1,10
4718.0,12,11,18
4722.57179795,12,8,207
4731.0,12,6,46
4731.149857472,12,10,288
4741.0,12,12,18
4748.343711126,12,11,18
4758.0,12,13,28
4768.0,12,15,266
4771.0,12,1,1
4782.0,12,8,216
4791.0,12,6,28
4801.0,12,12,9
4803.443579026,12,12,9
4818.0,12,13,10
4828.0,12,15,291
4831.0,12,1,0
4842.0,12,8,216
4851.0,12,6,19
4878.0,12,13,9
4888.0,12,15,299
4891.0,12,1,0
4902.0,12,8,226
4911.0,12,6,9
4911.343867647,12,14,279
4912.528012525,12,2,279
4935.319528091,12,1,315
4938.0,12,13,0
4948.0,12,15,307
4962.0,12,8,235
4971.0,12,14,288
4971.0,12,6,0
4972.0,12,2,288
4997.340700552,12,13,0
5008.0,12,15,306
5022.0,12,8,254
5031.0,12,14,297
5031.0,12,6,0
5032.0,12,2,297
5054.64127556,12,6,0
5068.0,12,15,306
5082.0,12,8,272
5091.0,12,14,306
5092.0,12,2,306
5128.0,12,15,315
5134.475269839,12,15,315
5142.0,12,8,290
5151.0,12,14,315
5152.0,12,2,315
5202.0,12,8,308
5211.0,12,14,0
5212.0,12,2,0
5262.0,12,8,1
5271.0,12,14,9
5272.0,12,2,9
5322.0,12,8,10
5330.039005021,12,14,9
5332.0,12,2,18
5382.0,12,8,9
5392.0,12,2,27
5406.137136563,12,2,27
5442.0,12,8,18
5477.241776791,12,8,18
7236.228532404,4,4,153
7275.133681243,4,5,180
7296.0,4,4,153
7306.608081708,6,7,126
7335.0,4,5,171
7335.549513382,4,14,135
7356.0,4,4,144
7360.718599051,4,2,144
7366.0,6,7,126
7395.0,4,5,171
7395.0,4,14,135
7416.0,4,4,136
7420.0,4,2,144
7426.0,6,7,135
7430.429302514,2,6,234
7455.0,4,14,126
7455.0,4,5,163
7476.0,4,4,127
7480.0,4,2,135
7486.0,6,7,154
7490.0,2,6,234
7509.36578389,2,13,252
7515.0,4,5,155
7515.0,4,14,117
7536.0,4,4,109
7540.0,4,2,126
7542.208006351,2,11,279
7546.0,6,7,163
7550.0,2,6,243
7569.0,2,13,252
7575.0,4,5,137
7575.0,4,14,99
7576.224611969,2,12,279
7590.331417062,1,11,252
7596.0,4,4,91
7599.175020036,1,6,225
7600.0,4,2,109
7602.0,2,11,279
7606.0,6,7,181
7610.0,2,6,253
7629.0,2,13,261
7635.0,4,5,111
7635.0,4,14,91
7636.0,2,12,288
7650.0,1,11,261
7656.0,4,4,73
7659.0,1,6,225
7660.0,4,2,100
7662.0,2,11,288
7663.301606778,2,1,270
7666.0,6,7,199
7668.526360791,2,15,252
7670.0,2,6,262
7676.442869543,1,13,243
7687.98759466,1,12,261
7689.0,2,13,270
7695.0,4,14,72
7695.0,4,5,83
7696.0,2,12,288
7710.0,1,11,270
7711.598078113,4,8,72
7711.90585948,10,11,171
7716.0,4,4,64
7719.0,1,6,234
7720.0,4,2,82
7722.0,2,11,297
7723.0,2,1,279
7726.0,6,7,207
7728.0,2,15,252
7730.0,2,6,281
7736.0,1,13,252
7747.0,1,12,270
7749.0,2,13,280
7755.0,4,14,63
7755.0,4,5,64
7756.0,2,12,297
7770.0,1,11,279
7771.0,10,11,171
7771.0,4,8,63
7776.0,4,4,54
7777.591063495,10,12,171
7779.0,1,6,244
7780.0,4,2,72
7782.0,2,11,306
7783.0,2,1,288
7786.0,6,7,216
7788.0,2,15,261
7790.0,2,6,299
7796.0,1,13,252
7807.0,1,12,279
7807.333199439,2,11,315
7809.0,2,13,298
7815.0,4,5,55
7815.0,4,14,54
7816.0,2,12,306
7830.0,1,11,288
7831.0,10,11,162
7831.0,4,8,54
7833.932585967,2,8,234
7836.0,4,4,45
7837.0,10,12,162
7839.0,1,6,253
7840.0,4,2,63
7843.0,2,1,297
7846.0,6,7,225
7848.0,2,15,262
7850.0,2,6,317
7856.0,1,13,270
7866.928174805,4,8,45
7867.0,1,12,288
7869.0,2,13,307
7874.058395645,1,11,288
7875.0,4,5,54
7875.0,4,14,54
7875.543980721,6,7,234
7876.0,2,12,315
7880.78463462,1,12,288
7881.753006352,2,12,315
7891.0,10,11,153
7891.244171388,1,15,252
7893.0,2,8,234
7893.195343694,4,4,45
7897.0,10,12,162
7899.0,1,6,271
7900.0,4,2,54
7902.479868638,4,14,45
7903.0,2,1,306
7908.0,2,15,272
7910.0,2,6,10
7916.0,1,13,279
7929.0,2,13,1
7935.0,4,5,45
7951.0,10,11,144
7951.0,1,15,261
7953.0,2,8,225
7954.957553738,4,2,45
7957.0,10,12,153
7959.0,1,6,280
7963.0,2,1,315
7968.0,2,15,290
7970.0,2,6,19
7976.0,1,13,288
7987.108467,4,5,45
7989.0,2,13,9
7996.004782024,1,8,252
8011.0,10,11,135
8011.0,1,15,270
8013.0,2,8,216
8017.0,10,12,144
8019.0,1,6,298
8023.0,2,1,0
8028.0,2,15,318
8030.0,2,6,27
8036.0,1,13,297
8049.0,2,13,18
8056.0,1,8,252
8061.844495659,10,1,162
8061.875282854,2,14,261
8071.0,10,11,126
8071.0,1,15,279
8073.0,2,8,198
8077.0,10,12,126
8079.0,1,6,307
8083.0,2,1,9
8083.378821456,2,2,261
8088.0,2,15,21
8090.0,2,6,36
8096.0,1,13,306
8101.11188666,2,9,288
8109.0,2,13,27
8116.0,1,8,243
8121.0,2,14,252
8121.0,10,1,153
8131.0,10,11,117
8131.0,1,15,288
8133.0,2,8,189
8136.577148915,10,3,252
8137.0,10,12,126
8139.0,1,6,315
8143.0,2,1,18
8143.0,2,2,252
8148.0,2,15,38
8150.0,2,6,36
8153.953788244,2,6,36
8156.0,1,13,315
8158.161026728,2,13,27
8161.0,2,9,288
8161.452312531,2,1,27
8169.868612491,2,10,315
8176.0,1,8,244
8177.566106635,2,4,261
8181.0,10,1,144
8181.0,2,14,252
8186.752543267,1,2,288
8191.0,10,11,108
8191.0,1,15,307
8193.0,2,8,180
8194.529567203,1,14,288
8196.0,10,3,252
8197.0,10,12,117
8199.0,1,6,0
8203.0,2,2,243
8208.0,2,15,55
8211.609780843,1,13,0
8221.0,2,9,288
8229.0,2,10,0
8236.0,1,8,236
8237.0,2,4,252
8239.088819796,10,11,99
8241.0,2,14,243
8241.0,10,1,135
8246.0,1,2,288
8251.0,1,15,315
8253.0,2,8,171
8254.0,1,14,288
8256.0,10,3,252
8257.0,10,12,108
8259.0,1,6,9
8263.0,2,2,234
8263.433030582,10,10,207
8268.0,2,15,55
8273.385144312,1,6,9
8275.859483213,10,12,108
8281.0,2,9,289
8282.430851987,1,4,297
8286.706890147,10,7,288
8289.0,2,10,9
8296.0,1,8,228
8297.0,2,4,252
8301.0,2,14,225
8301.0,10,1,135
8306.0,1,2,288
8306.976208741,1,5,297
8311.0,1,15,0
8313.0,2,8,162
8314.0,1,14,288
8316.0,10,3,262
8322.399628296,3,7,153
8323.0,2,2,225
8323.0,10,10,207
8328.0,2,15,63
8341.0,2,9,290
8342.0,1,4,297
8346.0,10,7,288
8349.0,2,10,18
8353.332014963,10,1,126
8356.0,1,8,202
8357.0,2,4,234
8361.0,2,14,216
8366.0,1,2,280
8366.0,1,5,288
8371.0,1,15,9
8373.0,2,8,153
8374.0,1,14,289
8376.0,10,3,262
8382.0,3,7,144
8383.0,10,10,198
8383.0,2,2,216
8388.0,2,15,63
8389.369914453,2,8,153
8401.0,2,9,292
8402.0,1,4,297
8406.0,10,7,297
8409.0,2,10,27
8411.57425217,1,9,315
8416.0,1,8,157
8417.0,2,4,225
8418.169417329,2,15,63
8421.0,2,14,207
8426.0,1,5,288
8426.0,1,2,281
8431.0,1,15,18
8434.0,1,14,290
8436.0,10,3,281
8442.0,3,7,135
8443.0,2,2,207
8443.0,10,10,189
8461.0,2,9,295
8462.0,1,4,289
8466.0,10,7,306
8469.0,2,10,36
8471.0,1,9,0
8476.0,1,8,129
8477.0,2,4,216
8481.0,2,14,198
8486.0,1,5,280
8486.0,1,2,273
8491.0,1,15,27
8494.0,1,14,282
8496.0,10,3,300
8497.456946052,1,15,27
8502.0,3,7,126
8503.0,10,10,181
8503.0,2,2,198
8503.22943477,2,10,45
8516.297197827,2,2,198
8521.0,2,9,123
8522.0,1,4,290
8526.0,10,7,315
8531.0,1,9,9
8536.0,1,8,119
8537.0,2,4,207
8541.0,2,14,189
8546.0,1,2,239
8546.0,1,5,271
8554.0,1,14,267
8556.0,10,3,4
8562.0,3,7,117
8563.0,10,10,172
8581.0,2,9,120
8582.0,1,4,291
8584.02929906,2,14,180
8586.0,10,7,0
8591.0,1,9,18
8596.0,1,8,109
8597.0,2,4,198
8606.0,1,2,193
8606.0,1,5,263
8614.0,1,14,168
8616.0,10,3,30
8622.0,3,7,99
8623.0,10,10,154
8639.122351979,2,4,198
8641.0,2,9,128
8642.0,1,4,276
8646.0,10,7,9
8651.0,1,9,27
8656.0,1,8,108
8666.0,1,2,165
8666.0,1,5,237
8671.234210151,8,7,99
8674.0,1,14,147
8676.0,10,3,47
8682.0,3,7,90
8683.0,10,10,145
8701.0,2,9,127
8702.0,1,4,177
8706.0,10,7,18
8711.0,1,9,36
8716.0,1,8,108
8726.0,1,5,209
8726.0,1,2,155
8731.0,8,7,108
8734.0,1,14,137
8736.0,10,3,55
8742.0,3,7,81
8743.0,10,10,135
8761.0,2,9,126
8762.0,1,4,156
8764.158577787,1,8,108
8766.0,10,7,27
8771.0,1,9,45
8786.0,1,2,154
8786.0,1,5,191
8791.0,8,7,108
8794.0,1,14,136
8796.0,10,3,64
8802.0,3,7,72
8803.0,10,10,126
8817.751967839,10,7,36
8821.0,2,9,126
8822.0,1,4,146
8831.0,1,9,54
8846.0,1,2,144
8846.0,1,5,181
8851.0,8,7,118
8854.0,1,14,135
8856.0,10,3,63
8862.0,3,7,63
8863.0,10,10,117
8866.844772222,2,9,126
8882.0,1,4,145
8884.172153966,3,7,63
8891.0,1,9,63
8906.0,1,5,171
8906.0,1,2,144
8911.0,8,7,136
8914.0,1,14,135
8916.0,10,3,63
8923.0,10,10,108
8928.531195486,10,10,108
8940.964721887,1,9,72
8942.0,1,4,144
8947.76099735,10,3,63
8955.060974524,1,2,144
8966.0,1,5,171
8971.0,8,7,155
8972.505676039,1,14,135
9002.0,1,4,144
9026.0,1,5,162
9031.0,8,7,173
9045.952864072,1,5,162
9058.715342459,1,4,144
9091.0,8,7,190
9151.0,8,7,199
9211.0,8,7,207
9249.188132076,3,9,153
9271.0,8,7,216
9289.240891503,5,7,117
9309.0,3,9,144
9316.933941856,8,7,216
9349.0,5,7,126
9369.0,3,9,135
9409.0,5,7,135
9429.0,3,9,126
9469.0,5,7,144
9489.0,3,9,117
9529.0,5,7,153
9549.0,3,9,108
9577.867150236,3,4,171
9589.0,5,7,171
9609.0,3,9,90
9637.0,3,4,162
9649.0,5,7,180
9661.832060575,3,5,189
9669.0,3,9,90
9697.0,3,4,153
9709.0,5,7,189
9721.0,3,5,180
9729.0,3,9,81
9742.531807411,9,5,90
9757.0,3,4,144
9760.609095506,3,9,72
9767.98220497,3,14,135
9769.0,5,7,198
9781.0,3,5,171
9800.116217104,5,7,198
9802.0,9,5,90
9817.0,3,4,135
9827.0,3,14,126
9837.304954652,12,11,144
9841.0,3,5,162
9858.65251466,12,12,153
9862.0,9,5,99
9877.0,3,4,126
9887.0,3,14,117
9897.0,12,11,144
9901.0,3,5,153
9903.99801027,3,14,117
9918.0,12,12,153
9922.0,9,5,117
9937.0,3,4,117
9957.0,12,11,144
9961.0,3,5,144
9978.0,12,12,153
9982.0,9,5,126
9987.670988696,12,1,180
9997.0,3,4,108
10017.0,12,11,145
10020.774947495,12,13,162
10021.0,3,5,126
10029.224512864,9,5,126
10038.0,12,12,154
10047.0,12,1,189
10057.0,3,4,99
10074.318191958,12,6,153
10077.0,12,11,146
10080.0,12,13,162
10081.0,3,5,117
10093.463730485,3,4,99
10098.0,12,12,164
10107.0,12,1,189
10134.0,12,6,153
10137.0,12,11,139
10140.0,12,13,171
10141.0,3,5,108
10158.0,12,12,165
10167.0,12,1,199
10194.0,12,6,153
10197.0,12,11,123
10200.0,12,13,172
10201.0,3,5,108
10205.064829233,3,5,108
10218.0,12,12,195
10227.0,12,1,208
10254.0,12,6,154
10255.254253243,12,15,207
10257.0,12,11,24
10260.0,12,13,182
10278.0,12,12,285
10287.0,12,1,227
10314.0,12,6,155
10315.0,12,15,207
10317.0,12,11,3
10320.0,12,13,192
10338.0,12,12,300
10347.0,12,1,245
10374.0,12,6,157
10375.0,12,15,216
10377.0,12,11,317
10380.0,12,13,220
10398.0,12,12,308
10407.0,12,1,263
10434.0,12,6,177
10435.0,12,15,225
10437.0,12,11,316
10440.0,12,13,265
10458.0,12,12,307
10467.0,12,1,280
10494.0,12,6,303
10495.0,12,15,235
10497.0,12,11,315
10500.0,12,13,291
10518.0,12,12,306
10527.0,12,1,289
10554.0,12,6,310
10555.0,12,15,253
10557.0,12,11,315
10560.0,12,13,299
10578.0,12,12,315
10587.0,12,1,297
10594.59557844,12,8,234
10614.0,12,6,308
10615.0,12,15,262
10617.0,12,11,315
10619.666994184,12,11,315
10620.0,12,13,307
10638.0,12,12,315
10642.733636193,12,12,315
10647.0,12,1,297
10654.0,12,8,243
10674.0,12,6,316
10675.0,12,15,280
10680.0,12,13,306
10707.0,12,1,306
10712.657777169,12,1,306
10714.0,12,8,243
10734.0,12,6,315
10735.0,12,15,288
10740.0,12,13,306
10774.0,12,8,253
10794.0,12,6,315
10795.0,12,15,297
10798.505762841,12,13,306
10834.0,12,8,262
10837.253760787,12,2,297
10854.0,12,6,315
10855.0,12,15,306
10862.449097502,12,6,315
10869.947331655,12,14,306
10894.0,12,8,281
10897.0,12,2,306
10914.857745817,12,15,306
10929.0,12,14,306
10954.0,12,8,299
10957.0,12,2,315
10989.0,12,14,315
11010.468171528,12,5,0
11014.0,12,8,317
11017.0,12,2,0
11049.0,12,14,0
11070.0,12,5,9
11074.0,12,8,1
11077.0,12,2,9
11109.0,12,14,9
11130.0,12,5,18
11134.0,12,8,19
11137.0,12,2,18
11169.0,12,14,18
11190.0,12,5,27
11194.0,12,8,27
11197.0,12,2,27
11229.0,12,14,27
11250.0,12,5,36
11254.0,12,8,27
11257.0,12,2,36
11284.601649162,12,14,36
11310.0,12,5,45
11314.0,12,8,36
11317.0,12,2,45
11326.853673778,12,8,36
11361.249624358,12,2,54
11370.0,12,5,54
11430.0,12,5,63
11447.268338639,12,5,63
12732.343547278,4,9,153
12792.0,4,9,153
12813.097802411,6,7,153
12852.0,4,9,144
12873.0,6,7,162
12912.0,4,9,136
12933.0,6,7,171
12972.0,4,9,127
12993.0,6,7,180
12998.639642297,4,4,189
13032.0,4,9,110
13045.310261715,4,14,171
13053.0,6,7,189
13058.0,4,4,189
13081.157429364,4,5,207
13086.897093952,4,2,180
13092.0,4,9,83
13097.417417432,6,7,198
13105.0,4,14,171
13118.0,4,4,189
13141.0,4,5,207
13146.0,4,2,180
13152.0,4,9,64
13165.0,4,14,162
13178.0,4,4,190
13201.0,4,5,207
13206.0,4,2,171
13212.0,4,9,55
13225.0,4,14,163
13238.0,4,4,182
13261.0,4,5,208
13266.0,4,2,163
13272.0,4,9,45
13285.0,4,14,145
13297.937730944,4,8,108
13298.0,4,4,165
13321.0,4,5,209
13326.0,4,2,154
13332.0,4,9,36
13345.0,4,14,128
13357.0,4,8,99
13358.0,4,4,131
13381.0,4,5,202
13386.0,4,2,137
13392.0,4,9,36
13405.0,4,14,110
13406.304622156,4,9,36
13417.0,4,8,90
13418.0,4,4,85
13419.298987741,2,6,261
13441.0,4,5,178
13446.0,4,2,110
13465.0,4,14,92
13477.0,4,8,81
13478.0,4,4,65
13479.0,2,6,270
13501.0,4,5,68
13506.0,4,2,92
13525.0,4,14,73
13526.500929322,2,13,279
13537.0,4,8,72
13538.0,4,4,55
13539.0,2,6,270
