Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost,
6,8,618,88,50,19,11,11,100.0,0.425088,0.0,
6,9,577,88,56,9,11,1,0.09,5.932224,10.0,
6,10,588,90,76,5,7,12,100.0,0.728352,5995.0,
6,11,589,92,125,19,12,12,100.0,0.387072,0.0,
6,12,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,13,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,14,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,15,598,91,143,19,12,8,100.0,0.7715519999999999,4.0,
6,16,618,88,50,19,11,11,100.0,0.425088,0.0,
6,17,598,93,93,4,11,6,100.0,0.844992,5.0,
6,18,619,88,34,19,11,6,0.09,1.254528,5.0,
6,19,618,88,50,19,11,11,100.0,0.425088,0.0,
6,20,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,21,618,88,50,19,11,11,100.0,0.425088,0.0,
6,22,617,90,32,19,12,12,100.0,0.49334400000000006,0.0,
6,23,581,88,50,19,11,11,100.0,0.464832,0.0,
6,24,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,25,618,88,50,19,11,11,100.0,0.425088,0.0,
6,26,618,90,50,19,11,12,100.0,0.566784,1199.0,
6,27,581,88,50,19,12,11,100.0,0.458784,1.0,
6,28,618,88,50,19,11,11,100.0,0.425088,0.0,
6,29,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,30,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,31,581,88,64,19,11,11,100.0,0.44495999999999997,0.0,
6,32,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,33,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
6,34,626,88,50,10,12,11,100.0,0.525312,1.0,
6,35,583,88,89,12,11,11,100.0,1.655424,0.0,
6,36,618,88,50,19,11,11,100.0,0.425088,0.0,
6,37,618,88,50,19,4,11,0.09,2.676672,8393.0,
6,38,618,88,50,19,12,11,100.0,0.420768,1.0,
6,39,581,90,50,19,11,12,100.0,0.450144,1199.0,
6,40,618,88,45,0,12,11,0.09,6.7392,1.0,
6,41,618,88,50,19,11,11,100.0,0.425088,0.0,
6,42,581,89,34,16,11,12,100.0,0.67824,1199.0,
6,43,590,90,50,8,12,12,100.0,0.87264,0.0,
6,44,618,87,121,17,11,11,100.0,0.82512,0.0,
6,45,618,88,50,19,11,11,100.0,0.425088,0.0,
6,46,581,89,50,19,11,11,100.0,0.47952,0.0,
6,47,618,88,99,19,12,11,100.0,0.44928,1.0,
6,48,618,88,50,19,11,11,100.0,0.425088,0.0,
6,49,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,0,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,1,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,2,579,90,32,18,12,12,100.0,0.5676479999999999,0.0,
7,3,581,90,39,19,7,6,0.08,0.8527680000000001,1.0,
7,4,589,92,111,19,12,10,0.08,0.504576,2.0,
7,5,589,92,125,19,12,12,100.0,0.387072,0.0,
7,6,589,92,125,19,12,12,100.0,0.387072,0.0,
7,7,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,8,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,9,589,92,125,19,12,12,100.0,0.387072,0.0,
7,10,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,11,589,92,85,19,12,12,100.0,0.40608,0.0,
7,12,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,13,589,92,125,19,12,12,100.0,0.387072,0.0,
7,14,630,90,50,3,3,11,0.08,1.9794239999999999,9592.0,
7,15,581,90,38,19,4,12,0.08,1.338336,9592.0,
7,16,589,90,50,19,12,12,100.0,0.400896,0.0,
7,17,612,92,50,19,5,12,0.08,1.17504,8393.0,
7,18,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,19,583,89,75,19,9,12,100.0,0.560736,3597.0,
7,20,589,92,125,19,12,12,100.0,0.387072,0.0,
7,21,604,92,36,19,12,12,100.0,0.41472,0.0,
7,22,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,23,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,24,589,92,125,19,12,12,100.0,0.387072,0.0,
7,25,589,92,125,19,12,12,100.0,0.387072,0.0,
7,26,589,92,50,19,12,12,100.0,0.400032,0.0,
7,27,581,90,125,19,12,12,100.0,0.41817600000000005,0.0,
7,28,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,29,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,30,602,89,125,18,12,6,0.08,0.8899199999999999,6.0,
7,31,589,93,91,19,6,9,0.08,1.6269120000000001,3597.0,
7,32,581,92,125,19,12,12,100.0,0.40176,0.0,
7,33,589,90,50,19,12,12,100.0,0.400896,0.0,
7,34,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,35,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,36,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,37,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,38,589,92,146,19,12,12,100.0,0.387072,0.0,
7,39,589,95,97,19,12,12,100.0,0.40608,0.0,
7,40,581,92,50,24,6,12,0.08,2.7311039999999998,7194.0,
7,41,589,90,125,19,12,12,100.0,0.411264,0.0,
7,42,628,91,50,6,12,4,100.0,1.87056,8.0,
7,43,617,90,50,19,12,12,100.0,0.501984,0.0,
7,44,589,92,125,19,11,10,100.0,0.465696,1.0,
7,45,589,90,50,29,12,8,100.0,0.658368,4.0,
7,46,613,88,50,14,12,12,100.0,0.425088,0.0,
7,47,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
7,48,581,92,125,19,12,12,100.0,0.40176,0.0,
7,49,591,90,123,12,12,12,100.0,1.1681279999999998,0.0,
8,0,589,92,125,19,12,12,100.0,0.387072,0.0,
8,1,589,92,125,19,12,12,100.0,0.387072,0.0,
8,2,621,87,125,29,12,8,0.06999999999999999,0.94176,4.0,
8,3,589,92,125,19,12,12,100.0,0.387072,0.0,
8,4,589,92,125,19,12,12,100.0,0.387072,0.0,
8,5,589,92,125,19,12,12,100.0,0.387072,0.0,
