Per_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Cost,
0.01,-0.99,6,8,624,95,55,28,8,8,99.75308641975307,16.0,
0.01,-0.99,6,9,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,10,626,88,147,4,3,3,97.13991769547323,6.0,
0.01,-0.99,6,11,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,12,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,13,602,90,131,30,12,11,99.03292181069958,23.0,
0.01,-0.99,6,14,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,15,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,16,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,17,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,18,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,19,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,21,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,22,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,23,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,24,591,91,130,14,4,4,99.38271604938271,8.0,
0.01,-0.99,7,0,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,2,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,3,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,4,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,5,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,6,627,94,147,20,9,4,99.1358024691358,13.0,
0.01,-0.99,7,7,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,8,623,94,120,13,9,9,99.97942386831276,17.999999999999996,
0.01,-0.99,7,9,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,10,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,11,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,12,626,89,62,8,4,2,97.22222222222221,6.0,
0.01,-0.99,7,13,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,14,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,15,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,16,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,17,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,18,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,19,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,21,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,22,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,23,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,7,24,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,0,581,89,129,4,9,8,97.51028806584362,17.0,
0.01,-0.99,8,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,2,589,89,147,21,7,7,99.75308641975306,14.0,
0.01,-0.99,8,3,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,4,605,94,147,4,8,1,83.88888888888889,8.999999999999998,
0.01,-0.99,8,5,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,6,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,7,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,8,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,9,615,87,104,30,10,9,99.32098765432099,19.0,
0.01,-0.99,8,10,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,11,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,12,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,13,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,14,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,15,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,16,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,17,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,18,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,19,626,94,147,4,9,9,100.0,17.999999999999996,
