Gen,Pop,Alt,Inc,Aop,Initial_Raan,Delta_Raan,Num_Planes,Avg_Percentage,Std_Percentage,Avg_Time,Std_Time,
6,0,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,1,626,66,5,47,32,8,23.292181069958847,7.429550807605913,0.03525806683081931,0.012098286508793101,
6,2,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,3,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,4,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
6,5,582,55,5,47,32,6,19.753086419753085,3.3583877799346777,0.036164613908793136,0.011630496419026814,
6,6,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,7,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,8,610,59,5,47,28,1,10.370370370370372,6.783386107563532,0.038748698308317044,0.009316372153689707,
6,9,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,10,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,11,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
6,12,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,13,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,14,591,59,5,137,32,2,18.909465020576132,10.666377707817004,0.03722938301203902,0.010637724373850388,
6,15,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,16,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,17,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,18,594,59,85,98,32,6,19.362139917695476,10.719236470804637,0.03628402088897952,0.012608945221921434,
6,19,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,20,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
6,21,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,22,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
6,23,576,59,5,176,32,5,22.40740740740741,6.4098530819382065,0.03567241853349455,0.011760206965569474,
6,24,576,59,26,47,32,6,23.53909465020576,8.665068107490933,0.03482182453430496,0.013190058987435058,
7,0,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,1,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,2,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,3,605,91,134,47,32,2,2.8806584362139915,4.229884191039584,0.040767765265820544,0.005570407503906235,
7,4,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,5,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,6,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,7,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,8,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,9,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,10,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,11,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,12,626,123,24,47,32,8,13.106995884773662,4.9624749809574755,0.03742931940369264,0.011187088976879367,
7,13,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,14,625,115,130,47,35,8,2.5925925925925926,3.2288140322523504,0.04065088615233236,0.006234967191367142,
7,15,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
7,16,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,17,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,18,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,19,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,20,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,21,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,22,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,23,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
7,24,617,59,72,47,11,8,19.444444444444446,18.05630296367304,0.03433965536651508,0.014995702427476533,
8,0,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,1,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
8,2,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,3,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
8,4,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,5,630,134,23,47,28,2,0.0,0.0,0.041666666666666664,0.0,
8,6,587,52,5,47,13,8,22.242798353909468,7.92632547313729,0.03500394514498428,0.012752357043588822,
8,7,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
8,8,576,155,5,105,33,1,0.0,0.0,0.041666666666666664,0.0,
8,9,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,10,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,11,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,12,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,13,576,158,72,79,47,8,4.444444444444444,7.2372430060281685,0.04015380249754399,0.007106546146997792,
8,14,576,59,13,47,42,8,20.226337448559672,4.719789667263702,0.03598829674827087,0.011673201012018694,
8,15,576,7,5,47,32,6,1.1728395061728396,2.990696679040262,0.041259824412627134,0.003769608640801201,
8,16,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
8,17,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,18,614,122,5,161,32,7,9.5679012345679,4.017881587775599,0.0389234196779313,0.008816437928943243,
8,19,576,41,5,47,8,2,12.674897119341562,11.544731896459405,0.038692798798992505,0.009084510186714804,
8,20,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
8,21,603,59,178,47,32,1,10.185185185185185,6.752608675482281,0.0384645949460385,0.009858867327696337,
8,22,576,59,5,47,32,8,24.732510288065846,6.219848437830149,0.03491320491176666,0.012213905899731464,
8,23,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
8,24,590,59,50,47,32,5,22.345679012345677,12.087737478451672,0.03524352721373149,0.013293943328768786,
9,0,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,1,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,2,579,100,5,73,13,8,7.65432098765432,8.4331019051546,0.03912539972149146,0.008956596415370334,
9,3,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,4,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,5,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,6,579,59,5,11,9,2,17.283950617283953,11.607017587994557,0.037697001245561704,0.010253319415233586,
9,7,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,8,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,9,579,59,5,22,8,8,30.514403292181075,17.469196391679986,0.03285397611539519,0.013593371158019132,
9,10,579,59,5,47,32,8,24.814814814814817,6.277709999593651,0.03489811348156679,0.012217162888864106,
9,11,579,59,62,143,32,8,19.526748971193417,9.593730347244879,0.03488986405523894,0.013931914680473003,
