Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
630,82,51,26,6,6,0,30,206682970.4
606,95,77,3,6,6,0,30,206682970.4
606,92,71,13,9,6,0,30,207482451.1
598,86,147,19,7,7,0,30,218949464
604,85,126,4,7,7,0,30,218949464
599,81,123,8,4,4,0,30,182149983.3
596,90,30,27,11,11,100,13.5045913,268015438.3
623,90,107,8,3,3,0,30,169883489.7
608,88,84,14,3,3,0,30,169883489.7
596,95,104,6,11,4,0,30,184015438.3
611,89,128,23,9,3,0,30,171482451.1
602,94,55,23,11,8,0,30,232015438.3
576,99,148,26,7,4,0,30,182949464
629,88,129,10,11,3,0,30,172015438.3
610,93,58,1,4,4,0,30,182149983.3
581,93,88,29,4,4,0,30,182149983.3
612,89,94,2,6,5,0,30,194682970.4
599,93,31,14,5,5,0,30,194416476.9
612,84,141,17,5,5,0,30,194416476.9
630,95,51,3,6,6,0,30,206682970.4
606,82,77,26,6,6,0,30,206682970.4
612,85,126,29,8,8,0,30,231215957.6
627,95,58,13,7,7,0,30,218949464
608,90,84,14,3,3,0,30,169883489.7
609,95,77,8,3,3,0,30,169883489.7
584,94,128,13,6,5,0,30,194682970.4
590,89,150,23,11,11,0,30,268015438.3
614,85,137,26,9,6,0,30,207482451.1
629,88,129,1,4,4,0,30,182149983.3
610,93,58,10,11,3,0,30,172015438.3
599,93,123,29,4,4,0,30,182149983.3
581,81,88,8,4,4,0,30,182149983.3
576,84,51,3,4,4,0,30,182149983.3
575,82,45,8,5,4,0,30,182416476.9
616,99,114,26,3,3,0,30,169883489.7
618,93,117,28,11,3,0,30,172015438.3
612,95,51,2,6,5,100,20.78369507,194682970.4
630,89,94,3,6,6,0,30,206682970.4
606,82,77,13,6,6,0,30,206682970.4
606,92,71,26,9,6,0,30,207482451.1
627,95,147,13,7,7,0,30,218949464
598,98,58,3,5,3,0,30,170416476.9
612,94,55,0,11,11,0,30,268015438.3
602,91,123,29,11,11,100,13.03711516,268015438.3
582,82,86,27,6,6,0,30,206682970.4
626,92,93,16,9,9,0,30,243482451.1
610,90,30,10,11,3,0,30,172015438.3
596,93,58,27,11,11,100,12.82658215,268015438.3
618,88,117,28,4,3,0,30,170149983.3
629,93,129,1,11,4,0,30,184015438.3
581,81,123,29,4,4,0,30,182149983.3
599,87,66,6,7,7,0,30,218949464
575,84,51,8,4,4,0,30,182149983.3
576,82,45,3,5,4,0,30,182416476.9
612,95,31,17,11,5,0,30,196015438.3
596,84,104,6,5,4,0,30,182416476.9
584,94,94,3,6,6,100,21.01391647,206682970.4
630,89,128,13,6,5,0,30,194682970.4
582,82,77,27,6,6,0,30,206682970.4
606,82,86,13,6,6,0,30,206682970.4
606,92,137,26,9,6,0,30,207482451.1
580,99,111,20,3,3,0,30,169883489.7
587,92,63,28,11,11,100,13.66971171,268015438.3
627,89,147,13,7,7,0,30,218949464
592,88,51,27,8,3,0,30,171215957.6
586,88,55,0,5,5,0,30,194416476.9
617,98,115,12,10,3,0,30,171748944.7
613,80,36,4,3,3,0,30,169883489.7
616,81,35,4,3,3,0,30,169883489.7
594,95,37,11,8,4,100,18.68440158,183215957.6
592,81,115,13,6,4,0,30,182682970.4
598,82,104,21,10,10,0,30,255748944.7
576,94,47,6,7,4,100,19.61297041,182949464
583,80,70,1,6,3,0,30,170682970.4
617,80,121,4,9,7,0,30,219482451.1
598,95,31,11,5,3,0,30,170416476.9
595,89,122,18,7,7,0,30,218949464
587,95,80,1,8,5,100,16.61012612,195215957.6
610,93,49,4,5,5,0,30,194416476.9
576,96,87,28,11,8,100,11.9486946,232015438.3
618,99,145,24,11,8,0,30,232015438.3
593,89,84,17,11,6,0,30,208015438.3
602,95,128,13,6,6,0,30,206682970.4
589,90,56,19,7,6,0,30,206949464
613,92,110,16,4,4,0,30,182149983.3
626,82,97,16,5,4,0,30,182416476.9
625,93,129,25,11,5,100,13.59104693,196015438.3
619,83,135,19,4,3,0,30,170149983.3
629,81,53,20,3,3,0,30,169883489.7
605,98,127,27,10,10,0,30,255748944.7
587,88,55,19,10,6,0,30,207748944.7
627,81,107,11,6,6,0,30,206682970.4
628,88,148,4,9,9,0,30,243482451.1
583,99,92,20,11,5,0,30,196015438.3
578,94,60,6,10,10,100,12.98329215,255748944.7
619,92,69,29,9,4,0,30,183482451.1
620,93,119,10,6,6,100,20.72930354,206682970.4
584,90,132,18,9,4,0,30,183482451.1
622,94,103,5,10,9,100,12.40879618,243748944.7
626,95,72,4,8,3,0,30,171215957.6
594,82,108,7,3,3,0,30,169883489.7
614,92,103,20,8,8,0,30,231215957.6
607,96,123,6,8,8,100,16.23408375,231215957.6
608,87,137,21,4,4,0,30,182149983.3
602,81,149,20,3,3,0,30,169883489.7
629,93,62,26,6,6,0,30,206682970.4
588,84,133,26,4,4,0,30,182149983.3
597,88,116,1,9,8,0,30,231482451.1
582,93,89,23,11,6,100,15.35803776,208015438.3
628,90,84,11,8,4,0,30,183215957.6
591,86,83,22,3,3,0,30,169883489.7
576,85,69,18,10,3,0,30,171748944.7
625,92,142,23,10,3,0,30,171748944.7
586,85,139,12,9,7,0,30,219482451.1
616,80,35,4,3,3,0,30,169883489.7
613,81,36,4,3,3,0,30,169883489.7
576,94,47,6,8,4,100,17.78693859,183215957.6
601,88,37,5,4,4,0,30,182149983.3
578,100,57,25,6,6,0,30,206682970.4
625,83,135,25,4,3,0,30,170149983.3
619,93,129,19,11,5,100,14.04105331,196015438.3
622,93,103,5,6,9,0,30,242682970.4
629,81,119,8,6,6,0,30,206682970.4
583,88,70,27,8,3,0,30,171215957.6
592,80,51,1,6,3,0,30,170682970.4
626,95,72,12,10,3,0,30,171748944.7
617,98,115,4,8,3,0,30,171215957.6
612,92,69,1,4,4,0,30,182149983.3
625,85,142,23,10,3,0,30,171748944.7
613,93,110,16,10,4,0,30,183748944.7
588,87,144,21,4,4,0,30,182149983.3
626,84,97,26,4,4,0,30,182149983.3
607,90,109,20,9,9,100,16.61022908,243482451.1
628,81,115,11,8,4,0,30,183215957.6
592,90,84,13,6,4,0,30,182682970.4
584,92,69,29,9,4,0,30,183482451.1
619,97,114,25,3,3,0,30,169883489.7
615,99,126,0,5,5,0,30,194416476.9
610,88,49,4,5,5,0,30,194416476.9
583,95,92,20,6,5,100,25.14168837,194682970.4
602,99,128,13,11,6,0,30,208015438.3
629,93,62,11,6,6,0,30,206682970.4
627,81,50,26,6,6,0,30,206682970.4
594,91,124,30,7,7,100,21.26807734,218949464
599,94,78,2,11,5,100,14.52506021,196015438.3
595,89,84,18,7,7,0,30,218949464
626,98,142,26,9,8,0,30,231482451.1
586,80,139,12,9,7,0,30,219482451.1
614,88,103,20,8,8,0,30,231215957.6
592,87,116,1,9,8,0,30,231482451.1
628,88,145,24,11,8,0,30,232015438.3
618,99,148,4,9,9,0,30,243482451.1
598,98,104,27,10,10,0,30,255748944.7
583,88,83,21,3,3,0,30,169883489.7
586,95,35,5,3,3,0,30,169883489.7
583,88,91,4,3,3,0,30,169883489.7
578,87,148,2,3,3,0,30,169883489.7
583,97,83,25,3,3,0,30,169883489.7
595,93,40,27,8,8,100,16.30855025,231215957.6
606,88,66,30,12,11,0,30,268281931.8
623,85,123,7,7,7,0,30,218949464
582,95,133,16,7,5,0,30,194949464
609,86,60,22,3,3,0,30,169883489.7
598,83,36,11,3,3,0,30,169883489.7
599,94,78,2,5,3,0,30,170416476.9
592,80,89,23,11,3,0,30,172015438.3
582,93,51,1,6,6,100,21.94301154,206682970.4
588,91,59,11,9,4,0,30,183482451.1
583,98,115,4,8,3,0,30,171215957.6
617,88,70,27,8,3,0,30,171215957.6
601,85,37,5,10,3,0,30,171748944.7
625,88,142,23,4,4,0,30,182149983.3
592,84,84,26,6,4,0,30,182682970.4
626,90,97,13,4,4,0,30,182149983.3
628,92,115,11,9,4,0,30,183482451.1
584,81,69,29,8,4,0,30,183215957.6
613,93,110,16,10,5,0,30,195748944.7
615,99,126,0,5,4,0,30,182416476.9
578,100,49,25,6,6,0,30,206682970.4
610,88,57,4,5,5,0,30,194416476.9
629,81,119,11,6,6,0,30,206682970.4
629,100,116,24,9,6,0,30,207482451.1
606,92,118,19,8,6,0,30,207215957.6
627,88,50,26,10,6,0,30,207748944.7
613,93,84,5,7,7,100,18.23695246,218949464
614,88,103,20,9,8,0,30,231482451.1
586,80,139,12,8,7,0,30,219215957.6
626,87,116,1,9,8,0,30,231482451.1
592,98,142,26,9,8,0,30,231482451.1
628,99,148,24,9,9,0,30,243482451.1
618,88,145,4,11,8,0,30,232015438.3
630,93,32,28,5,5,0,30,194416476.9
598,98,104,27,6,10,0,30,254682970.4
626,99,33,3,7,4,0,30,182949464
628,90,124,10,3,3,0,30,169883489.7
595,93,51,22,8,5,0,30,195215957.6
599,85,136,5,8,8,0,30,231215957.6
591,88,88,19,7,7,0,30,218949464
581,94,96,21,6,6,0,30,206682970.4
589,85,83,13,6,6,0,30,206682970.4
592,98,93,22,4,3,0,30,170149983.3
587,82,59,26,3,3,0,30,169883489.7
586,88,69,8,7,7,0,30,218949464
611,93,126,27,10,6,0,30,207748944.7
593,97,115,17,8,8,0,30,231215957.6
598,95,148,19,9,9,100,17.47344821,243482451.1
597,86,52,14,5,5,0,30,194416476.9
607,82,110,29,4,4,0,30,182149983.3
592,89,34,13,11,7,0,30,220015438.3
598,90,58,11,9,7,100,14.84298475,219482451.1
602,82,93,16,7,7,0,30,218949464
585,85,80,18,5,4,0,30,182416476.9
618,87,99,12,5,3,0,30,170416476.9
628,95,100,29,3,3,0,30,169883489.7
588,97,122,8,11,10,0,30,256015438.3
607,93,133,10,4,4,0,30,182149983.3
622,93,74,14,4,4,0,30,182149983.3
626,81,49,14,4,4,0,30,182149983.3
615,97,37,13,4,4,0,30,182149983.3
590,94,85,29,5,5,0,30,194416476.9
626,90,128,21,5,4,0,30,182416476.9
601,93,58,5,3,3,0,30,169883489.7
615,92,119,24,9,6,0,30,207482451.1
575,91,100,26,9,9,100,16.45317537,243482451.1
611,86,80,24,8,5,0,30,195215957.6
575,91,45,9,8,4,0,30,183215957.6
612,80,128,24,8,8,0,30,231215957.6
599,89,132,28,8,5,0,30,195215957.6
592,94,71,19,9,5,0,30,195482451.1
600,90,99,12,10,9,100,13.21963944,243748944.7
584,81,148,15,6,6,0,30,206682970.4
616,85,56,20,8,8,0,30,231215957.6
615,86,143,2,3,3,0,30,169883489.7
588,95,51,8,7,5,0,30,194949464
579,90,143,0,8,4,0,30,183215957.6
592,82,30,29,6,6,0,30,206682970.4
628,89,145,12,4,3,0,30,170149983.3
623,92,71,15,4,3,0,30,170149983.3
575,95,68,0,7,5,0,30,194949464
603,99,143,23,8,3,0,30,171215957.6
613,96,148,3,6,5,0,30,194682970.4
594,88,78,8,5,5,0,30,194416476.9
575,87,136,0,9,6,0,30,207482451.1
576,83,77,1,6,3,0,30,170682970.4
587,90,69,8,6,6,0,30,206682970.4
598,93,80,27,9,3,0,30,171482451.1
586,92,57,26,6,6,0,30,206682970.4
604,85,120,26,11,11,0,30,268015438.3
602,90,110,10,5,5,0,30,194416476.9
608,99,107,3,9,7,0,30,219482451.1
621,94,32,9,10,10,100,13.7665417,255748944.7
594,98,43,14,4,4,0,30,182149983.3
617,84,94,20,5,3,0,30,170416476.9
622,93,33,2,6,6,0,30,206682970.4
618,91,114,21,9,9,0,30,243482451.1
581,97,33,10,9,6,100,16.21807972,207482451.1
620,81,48,9,8,5,0,30,195215957.6
618,89,93,4,10,6,0,30,207748944.7
602,93,100,24,10,4,0,30,183748944.7
602,84,50,18,10,7,0,30,219748944.7
598,97,54,5,7,7,0,30,218949464
594,85,97,2,3,3,0,30,169883489.7
585,91,41,3,8,7,100,16.79405681,219215957.6
626,90,67,18,9,8,100,14.29802875,231482451.1
616,86,74,4,6,6,0,30,206682970.4
615,80,47,19,9,9,0,30,243482451.1
598,82,37,6,11,5,0,30,196015438.3
600,90,49,25,3,3,0,30,169883489.7
611,95,122,24,8,6,0,30,207215957.6
622,83,91,16,3,3,0,30,169883489.7
585,99,64,6,5,5,0,30,194416476.9
580,99,44,0,9,9,0,30,243482451.1
595,91,51,21,6,4,0,30,182682970.4
599,84,103,2,5,3,0,30,170416476.9
598,99,99,18,8,5,0,30,195215957.6
596,87,108,10,7,7,0,30,218949464
582,88,34,23,5,5,0,30,194416476.9
628,81,135,8,3,3,0,30,169883489.7
629,92,97,27,11,3,0,30,172015438.3
588,95,58,15,7,7,100,18.43803685,218949464
595,88,103,22,4,3,0,30,170149983.3
629,93,132,2,7,7,0,30,218949464
621,96,65,4,10,6,0,30,207748944.7
600,81,118,17,4,4,0,30,182149983.3
606,81,118,28,8,8,0,30,231215957.6
623,81,49,26,6,3,0,30,170682970.4
610,86,94,21,6,5,0,30,194682970.4
615,87,138,20,7,5,0,30,194949464
624,81,108,7,8,8,0,30,231215957.6
619,80,134,13,8,5,0,30,195215957.6
603,80,147,4,6,6,0,30,206682970.4
629,96,128,12,10,7,100,14.65619052,219748944.7
629,86,116,8,9,4,0,30,183482451.1
