Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Planes,Avg_Percentage,Std_Percentage,Avg_Time,Std_Time,
1,13,576,98,93,41,4,99.88603988603988,0.35735779149528596,1.1329376001197096,1.878840410115755,
1,14,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
2,0,596,93,67,31,7,100.0,0.0,0.8729454423436762,1.6030355113209462,
2,1,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
2,2,608,95,160,32,7,100.0,0.0,0.7580737931011087,1.3328936841914725,
2,3,598,98,70,32,7,99.88603988603988,0.35735779149528596,0.7277957298689239,1.3987590963787486,
2,4,598,98,160,32,7,99.88603988603988,0.35735779149528596,0.720864201837341,1.4325323530361815,
2,5,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
2,6,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
2,7,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
2,8,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
2,9,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
2,10,589,98,140,46,4,99.48717948717952,0.6768006002885784,2.0009037964239664,3.6495876229400395,
2,11,576,98,93,21,4,99.87179487179489,0.3586802937895783,1.5809653265482113,2.4222315579219744,
2,12,581,98,137,48,4,99.88603988603988,0.35735779149528596,2.8891757159087645,3.0421437091444528,
2,13,596,93,67,31,7,100.0,0.0,0.8729454423436762,1.6030355113209462,
2,14,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
3,0,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
3,1,608,92,70,32,7,100.0,0.0,0.7856141087553871,1.3975088163002354,
3,2,608,95,70,28,7,100.0,0.0,0.8503285903517375,1.6233739559267402,
3,3,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
3,4,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
3,5,608,95,160,32,2,99.75308641975307,0.35584034178908136,2.8967645656368792,4.479865314386061,
3,6,608,95,160,32,7,100.0,0.0,0.7580737931011087,1.3328936841914725,
3,7,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
3,8,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
3,9,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
3,10,587,95,95,31,7,100.0,0.0,0.6887421274990072,1.0904351509539023,
3,11,608,95,160,44,7,100.0,0.0,0.846048543993721,1.3155472058747382,
3,12,608,92,138,32,7,100.0,0.0,0.7614111457249149,1.3369323468918402,
3,13,614,118,148,19,7,81.68091168091166,31.073762929468113,5.909634600031561,11.435624349294649,
3,14,608,95,70,32,7,100.0,0.0,0.7693649404438395,1.3396125472114409,
4,0,614,84,95,31,7,98.9696106362773,1.0585279994752332,1.0843209143938315,3.295256453419752,
4,1,587,95,138,19,7,99.91452991452991,0.1914705142797325,0.879235468221496,2.1631084220942505,
4,2,614,95,138,31,7,100.0,0.0,0.7213557687886716,1.1952542843930805,
4,3,587,95,95,19,7,99.89078822412155,0.19841008941857644,0.9030908158112013,2.222489825658536,
4,4,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
4,5,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
4,6,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
4,7,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
4,8,614,92,95,31,7,99.9667616334283,0.09567636125171013,0.780136805958017,1.4689268401930509,
4,9,587,95,138,19,7,99.91452991452991,0.1914705142797325,0.879235468221496,2.1631084220942505,
4,10,614,95,95,31,7,100.0,0.0,0.7355145196432881,1.1782182363034326,
4,11,587,95,138,19,7,99.91452991452991,0.1914705142797325,0.879235468221496,2.1631084220942505,
4,12,608,92,138,32,7,100.0,0.0,0.7614111457249149,1.3369323468918402,
4,13,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
4,14,598,92,138,7,1,94.73884140550808,5.17092927024438,5.607673493214572,8.211768956783576,
5,0,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,1,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,2,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
5,3,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,4,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
5,5,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,6,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
5,7,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,8,614,95,95,19,7,100.0,0.0,0.6964825774512582,1.195016282229379,
5,9,614,95,138,31,7,100.0,0.0,0.7213557687886716,1.1952542843930805,
5,10,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,11,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,12,614,92,138,19,7,100.0,0.0,0.6908607897834088,1.2145251583080905,
5,13,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
5,14,614,95,138,19,7,100.0,0.0,0.6759769654152209,1.1561756370202416,
